Ranking,Most Played Games,Trending Games,Popular Releases,Hot Releases
1,Counter-Strike: Global Offensive,NARAKA: BLADEPOINT Playtest,NieR Replicant ver.1.22474487139...,Portal Reloaded
2,Dota 2,NieR Replicant ver.1.22474487139...,Portal Reloaded,Perfect Gold
3,PLAYERUNKNOWN'S BATTLEGROUNDS,Portal Reloaded,HUMANKIND™ - Victor OpenDev,Cards & Tankards
4,Apex Legends,DEVOUR,MotoGP™21,Turnip Boy Commits Tax Evasion
5,Grand Theft Auto V,Warhammer: Vermintide 2,Devil Slayer - Raksasi / 斩妖Raksasi,The Journey - Episode 1: Whatever This Is
6,NARAKA: BLADEPOINT Playtest,Nioh: Complete Edition,Fleeting Iris,Happy Puzzle
7,Team Fortress 2,HUMANKIND™ - Victor OpenDev,Torque Drift,Silicon Dreams
8,Path of Exile,DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,Atelier Sophie: The Alchemist of the Mysterious Book DX,Devil Slayer - Raksasi / 斩妖Raksasi
9,Tom Clancy's Rainbow Six Siege,A Plague Tale: Innocence,Turnip Boy Commits Tax Evasion,HUMANKIND™ - Victor OpenDev
10,Rust,Teamfight Manager,Tower Ball - Incremental Tower Defense,Orbital Bullet
11,Warframe,Tropico 6,江湖余生,Mini Car Racing - Tiny Split Screen Tournament
12,Football Manager 2021,Attack on Titan 2 - A.O.T.2 - 進撃の巨人２,Key To Heaven,Hoplegs
13,Valheim,Frostpunk,Happy Puzzle,Bamerang
14,ARK: Survival Evolved,MotoGP™21,素敵な彼女の作り方,LudoNarraCon Supporter Pack featuring Cyrano
15,The Binding of Isaac: Rebirth,This War of Mine,Dread Hunger,Underland: The Climb
